ts,humid,rainfall,temp,windspeed
2026-03-26 21:42:25,75,0,31.2,5.6
2026-03-26 21:52:26,75,0,31.2,5.6
2026-03-26 22:12:33,80,0,29.6,9.3
2026-03-26 22:22:13,80,0,29.6,9.3
2026-03-26 22:32:47,82,0,29.8,5.6
2026-03-26 22:42:27,82,0,29.8,5.6
2026-03-26 22:52:26,82,0,29.8,5.6
2026-03-26 23:02:53,82,0,29.8,5.6
2026-03-26 23:12:50,82,0,29.8,5.6
2026-03-26 23:22:41,82,0,29.8,5.6
2026-03-26 23:32:40,82,0,29.8,5.6
2026-03-26 23:42:29,82,0,29.8,5.6
2026-03-26 23:52:24,82,0,29.8,5.6
2026-03-27 00:02:23,82,0,29.8,5.6
2026-03-27 00:12:21,82,0,29.8,5.6
2026-03-27 00:22:21,82,0,29.8,5.6
2026-03-27 00:32:21,82,0,29.8,5.6
2026-03-27 00:42:21,82,0,29.8,5.6
2026-03-27 00:52:20,82,0,29.8,5.6
2026-03-27 01:22:25,80,0,29.5,7.4
2026-03-27 01:32:17,80,0,29.5,7.4
2026-03-27 01:42:22,80,0,29.5,7.4
2026-03-27 01:52:23,80,0,29.5,7.4
2026-03-27 02:02:13,80,0,29.5,7.4
2026-03-27 02:12:23,80,0,29.5,7.4
2026-03-27 02:22:23,80,0,29.5,7.4
2026-03-27 02:32:15,80,0,29.5,7.4
2026-03-27 02:42:22,80,0,29.5,7.4
2026-03-27 02:52:23,80,0,29.5,7.4
2026-03-27 03:02:23,80,0,29.5,7.4
2026-03-27 03:12:24,80,0,29.5,7.4
2026-03-27 03:22:20,80,0,29.5,7.4
2026-03-27 03:32:22,80,0,29.5,7.4
2026-03-27 03:42:20,80,0,29.5,7.4
2026-03-27 03:52:20,80,0,29.5,7.4
2026-03-27 04:22:22,82,0,29.0,5.6
2026-03-27 04:32:26,82,0,29.0,5.6
2026-03-27 04:42:23,82,0,29.0,5.6
2026-03-27 04:52:22,82,0,29.0,5.6
2026-03-27 05:02:21,82,0,29.0,5.6
2026-03-27 05:12:15,82,0,29.0,5.6
2026-03-27 05:22:21,82,0,29.0,5.6
2026-03-27 05:32:22,82,0,29.0,5.6
2026-03-27 05:42:21,82,0,29.0,5.6
2026-03-27 05:52:24,82,0,29.0,5.6
2026-03-27 06:02:43,82,0,29.0,5.6
2026-03-27 06:12:34,82,0,29.0,5.6
2026-03-27 06:22:30,82,0,29.0,5.6
2026-03-27 06:32:21,82,0,29.0,5.6
2026-03-27 06:42:21,82,0,29.0,5.6
2026-03-27 06:52:22,82,0,29.0,5.6
2026-03-27 07:12:29,78,0,28.8,11.1
2026-03-27 07:22:51,78,0,28.8,11.1
2026-03-27 07:43:36,84,0,28.5,9.3
2026-03-27 07:53:52,84,0,28.5,9.3
2026-03-27 08:03:39,84,0,28.5,9.3
2026-03-27 08:13:51,84,0,28.5,9.3
2026-03-27 08:32:50,84,0,28.5,9.3
2026-03-27 08:42:37,84,0,28.5,9.3
2026-03-27 08:52:23,84,0,28.5,9.3
2026-03-27 09:02:46,84,0,28.5,9.3
2026-03-27 09:12:34,84,0,28.5,9.3
2026-03-27 09:22:22,84,0,28.5,9.3
2026-03-27 09:32:32,84,0,28.5,9.3
2026-03-27 09:42:27,84,0,28.5,9.3
2026-03-27 09:52:22,84,0,28.5,9.3
2026-03-27 10:12:33,68,0,32.5,13.0
2026-03-27 10:22:20,68,0,32.5,13.0
2026-03-27 10:33:15,68,0,32.5,13.0
2026-03-27 10:42:44,68,0,32.5,13.0
2026-03-27 10:52:50,68,0,32.5,13.0
2026-03-27 11:02:51,68,0,32.5,13.0
2026-03-27 11:12:35,68,0,32.5,13.0
2026-03-27 11:22:35,68,0,32.5,13.0
2026-03-27 11:32:41,68,0,32.5,13.0
2026-03-27 11:42:16,68,0,32.5,13.0
2026-03-27 11:52:34,68,0,32.5,13.0
2026-03-27 12:03:43,68,0,32.5,13.0
2026-03-27 12:12:59,68,0,32.5,13.0
2026-03-27 12:23:20,68,0,32.5,13.0
2026-03-27 12:33:52,68,0,32.5,13.0
2026-03-27 12:43:19,68,0,32.5,13.0
2026-03-27 12:52:56,68,0,32.5,13.0
2026-03-27 13:22:34,59,0,34.2,9.3
2026-03-27 13:32:39,59,0,34.2,9.3
2026-03-27 13:42:37,59,0,34.2,9.3
2026-03-27 13:52:37,59,0,34.2,9.3
2026-03-27 14:03:20,59,0,34.2,9.3
2026-03-27 14:12:32,59,0,34.2,9.3
2026-03-27 14:22:33,59,0,34.2,9.3
2026-03-27 14:32:41,59,0,34.2,9.3
2026-03-27 14:42:35,59,0,34.2,9.3
2026-03-27 14:52:44,59,0,34.2,9.3
2026-03-27 15:02:48,59,0,34.2,9.3
2026-03-27 15:12:38,59,0,34.2,9.3
2026-03-27 15:22:35,59,0,34.2,9.3
2026-03-27 15:32:32,59,0,34.2,9.3
2026-03-27 15:42:35,59,0,34.2,9.3
2026-03-27 15:52:35,59,0,34.2,9.3
2026-03-27 16:22:35,62,0,34.0,13.0
2026-03-27 16:32:53,62,0,34.0,13.0
2026-03-27 16:42:52,62,0,34.0,13.0
2026-03-27 16:52:26,62,0,34.0,13.0
2026-03-27 17:03:18,62,0,34.0,13.0
2026-03-27 17:12:35,62,0,34.0,13.0
2026-03-27 17:22:35,62,0,34.0,13.0
2026-03-27 17:32:36,62,0,34.0,13.0
2026-03-27 17:42:38,62,0,34.0,13.0
2026-03-27 17:52:32,62,0,34.0,13.0
